location,topics
,"['pandas', 'python', 'dataframe', 'datetime', 'csv', 'numpy']"
"Bochum, Germany","['ruby', 'haskell', 'java', 'c', 'scala', 'functional-programming']"
"Welwyn Garden City, United Kingdom","['entity-framework', 'c#', 'entity-framework-4.1', 'entity-framework-4', 'ef-code-first', '.net']"
"NYC, NY, United States","['python', 'dictionary', 'exception', 'list', 'string', 'python-3.x']"
"Karlsruhe, Germany","['ruby', 'ruby-on-rails', 'scala', 'python', 'javascript', 'java']"
At an ipython shell near you,"['python', 'pandas', 'dataframe', 'numpy', 'string', 'list']"
"Pittsburgh, PA","['rust', 'rust-cargo', 'lifetime', 'borrow-checker', 'traits', 'iterator']"
"Choctaw, OK","['python', 'tkinter', 'python-3.x', 'robotframework', 'user-interface', 'tk-toolkit']"
,"['perl', 'regex', 'c', 'arrays', 'hash', 'bash']"
"Boston, MA","['python', 'list', 'django', 'python-3.x', 'unit-testing', 'coverage.py']"
,"['algorithm', 'c++', 'data-structures', 'big-o', 'java', 'c']"
"Dortmund, Germany","['python', 'git', 'c#', 'asp.net-core', 'list', 'python-3.x']"
"Chicago, IL, United States","['r', 'rcpp', 'c++', 'package', 'linux', 'c']"
Canada,"['php', 'mysql', 'sql', 'javascript', 'html', 'jquery']"
Somewhere near the inner rim of the Orion Arm,"['javascript', 'java', 'jquery', 'html', 'android', 'css']"
,"['python', 'c++', 'c', 'scikit-learn', 'numpy', 'machine-learning']"
Singapore,"['c++', 'c++11', 'templates', 'c', 'stl', 'pointers']"
"Seoul, South Korea","['python', 'string', 'python-3.x', 'list', 'python-2.7', 'regex']"
United States,"['powershell', 'bash', 'shell', 'windows', 'sed', 'regex']"
San Francisco Bay Area,"['python', 'pandas', 'dataframe', 'numpy', 'csv', 'python-2.7']"
"San Francisco, CA","['python', 'python-3.x', 'python-2.7', 'list', 'numpy', 'macos']"
"Washington, DC","['c++', 'c', 'stl', 'c++11', 'templates', 'visual-c++']"
"Austin, TX, USA","['javascript', 'arrays', 'reactjs', 'typescript', 'html', 'node.js']"
USA,"['twitter-bootstrap', 'css', 'bootstrap-4', 'twitter-bootstrap-3', 'html', 'bootstrap-5']"
Virginia,"['bash', 'shell', 'linux', 'java', 'python', 'unix']"
"Wyoming, United States","['c#', 'javascript', '.net', 'python', 'java', 'asp.net']"
"Melbourne, Australia","['java', 'swing', 'jpanel', 'jframe', 'jtable', 'user-interface']"
"Munich, Germany","['java', 'performance', 'string', 'floating-point', 'eclipse', 'multithreading']"
"Tübingen, Germany","['powershell', 'batch-file', 'c#', 'windows', 'java', 'regex']"
"Berlin, Germany","['jquery', 'javascript', 'php', 'html', 'ajax', 'css']"
United States,"['bash', 'shell', 'linux', 'sed', 'awk', 'unix']"
"Chicago, Illinois, United States","['ruby-on-rails', 'rails-activerecord', 'ruby', 'python', 'windows', 'version-control']"
The Netherlands,"['javascript', 'google-chrome-extension', 'google-chrome', 'jquery', 'html', 'css']"
"Ontario, Canada","['c++', 'c', 'c#', 'python', 'string', 'windows']"
"Seattle, WA","['javascript', 'mysql', 'google-maps', 'sql', 'sql-server', 'html']"
"Leeds, United Kingdom","['javascript', 'jquery', 'html', 'css', 'dom', 'php']"
Canada,"['python', 'pandas', 'dataframe', 'numpy', 'python-2.7', 'python-3.x']"
